SESSION,ANIMAL_ID,SO,LOC_ID,SEX
1,1,17,4,M
1,1,25,5,M
1,1,27,21,M
1,1,39,25,M
1,1,54,21,M
1,1,65,21,M
1,2,55,25,M
1,2,79,23,M
1,2,80,16,M
1,2,85,3,M
1,3,44,25,M
1,3,55,25,M
1,3,79,23,M
1,3,85,23,M
1,4,73,8,M
1,5,24,6,F
1,5,25,4,F
1,5,26,4,F
1,5,27,3,F
1,5,33,7,F
1,6,9,10,F
1,7,9,10,F
1,7,16,7,F
1,7,29,1,F
1,7,29,14,F
1,7,44,13,F
1,6,44,13,F
1,7,45,13,F
1,6,45,13,F
1,7,50,13,F
1,8,29,14,F
1,6,29,14,F
1,6,43,13,F
1,6,61,7,F
1,6,68,13,F
1,6,73,13,F
1,6,74,14,F
1,6,75,5,F
1,9,78,8,F
1,8,43,13,F
1,8,44,13,F
1,10,44,13,F
1,8,45,13,F
1,8,68,13,F
1,11,73,8,F
1,10,43,13,F
1,10,61,7,F
1,10,74,14,F
1,12,14,19,F
1,12,65,11,F
1,13,57,20,F
1,13,58,21,F
1,14,67,23,M
