SESSION,ANIMAL_ID,SO,LOC_ID,SEX
1,1,5,9,M
1,1,6,10,M
1,1,32,9,M
1,1,33,9,M
1,1,41,9,M
1,1,46,9,M
1,1,46,8,M
1,1,50,44,M
1,1,50,10,M
1,1,50,32,M
1,1,51,9,M
1,1,54,10,M
1,1,56,10,M
1,1,56,32,M
1,1,57,10,M
1,1,59,10,M
1,1,59,32,M
1,1,60,32,M
1,1,62,11,M
1,1,65,9,M
1,1,65,32,M
1,1,74,32,M
1,1,76,9,M
1,1,77,32,M
1,1,77,6,M
1,1,79,11,M
1,1,81,4,M
1,1,81,5,M
1,1,81,6,M
1,1,82,32,M
1,2,6,8,M
1,2,6,10,M
1,2,8,14,M
1,2,9,21,M
1,2,14,20,M
1,2,19,13,M
1,2,22,14,M
1,2,23,14,M
1,2,28,40,M
1,2,28,32,M
1,2,29,12,M
1,2,29,23,M
1,2,31,26,M
1,2,32,14,M
1,2,34,22,M
1,2,34,45,M
1,2,34,10,M
1,2,40,40,M
1,2,43,32,M
1,2,45,11,M
1,2,45,10,M
1,2,47,14,M
1,2,48,22,M
1,2,59,13,M
1,2,64,33,M
1,2,68,13,M
1,2,68,11,M
1,2,74,22,M
1,2,79,14,M
1,2,80,45,M
1,46,57,43,F
1,46,60,23,F
1,46,66,43,F
1,3,8,13,M
1,3,9,21,M
1,3,19,13,M
1,3,34,45,M
1,3,34,11,M
1,3,34,10,M
1,3,36,4,M
1,3,36,5,M
1,3,43,32,M
1,3,48,6,M
1,3,49,32,M
1,3,54,14,M
1,3,55,14,M
1,3,68,10,M
1,3,68,44,M
1,3,71,40,M
1,3,77,45,M
1,3,80,6,M
1,36,5,14,F
1,37,7,14,F
1,34,9,21,F
1,33,14,14,F
1,38,14,14,F
1,39,14,20,F
1,36,20,25,F
1,42,21,10,F
1,36,22,14,F
1,35,22,13,F
1,37,22,13,F
1,42,22,13,F
1,38,28,40,F
1,33,28,40,F
1,34,28,40,F
1,43,28,40,F
1,39,28,40,F
1,34,28,32,F
1,35,30,9,F
1,34,31,25,F
1,41,31,25,F
1,42,31,25,F
1,35,32,13,F
1,35,33,14,F
1,35,34,22,F
1,36,34,22,F
1,33,34,45,F
1,35,34,45,F
1,39,34,11,F
1,35,34,11,F
1,36,34,11,F
1,33,34,10,F
1,33,35,14,F
1,33,36,4,F
1,34,36,4,F
1,35,36,4,F
1,37,36,4,F
1,38,36,4,F
1,41,36,4,F
1,33,36,5,F
1,35,36,5,F
1,37,36,5,F
1,38,36,5,F
1,34,36,5,F
1,33,40,40,F
1,39,40,40,F
1,43,40,40,F
1,41,40,40,F
1,38,40,40,F
1,33,43,32,F
1,39,43,32,F
1,35,43,32,F
1,36,43,32,F
1,38,43,32,F
1,36,47,32,F
1,33,47,4,F
1,38,47,4,F
1,34,48,6,F
1,35,48,6,F
1,33,48,6,F
1,33,49,32,F
1,34,49,32,F
1,41,49,32,F
1,38,49,32,F
1,36,54,14,F
1,38,55,14,F
1,36,55,14,F
1,33,56,25,F
1,36,57,25,F
1,36,65,6,F
1,41,65,6,F
1,38,65,6,F
1,43,65,6,F
1,37,65,6,F
1,39,68,10,F
1,38,68,8,F
1,38,69,10,F
1,39,71,40,F
1,38,71,40,F
1,38,77,45,F
1,33,77,45,F
1,35,77,45,F
1,36,77,45,F
1,34,80,6,F
1,37,80,6,F
1,38,81,32,F
1,4,6,25,M
1,4,26,5,M
1,4,41,19,M
1,4,47,18,M
1,4,54,26,M
1,4,76,25,M
1,4,81,19,M
1,5,17,8,M
1,5,26,5,M
1,5,47,18,M
1,5,59,13,M
1,6,59,13,M
1,5,62,21,M
1,6,65,19,M
1,5,65,19,M
1,6,74,26,M
1,5,74,26,M
1,5,76,21,M
1,5,76,25,M
1,5,81,37,M
1,5,81,19,M
1,6,17,8,M
1,6,24,5,M
1,6,26,5,M
1,6,31,17,M
1,6,35,17,M
1,6,43,18,M
1,6,76,25,M
1,27,2,11,F
1,19,2,11,F
1,28,12,27,F
1,31,12,27,F
1,30,12,27,F
1,29,14,31,F
1,28,14,31,F
1,27,14,31,F
1,20,15,11,F
1,31,15,11,F
1,20,16,22,F
1,27,16,22,F
1,21,16,22,F
1,31,16,22,F
1,29,16,22,F
1,22,16,22,F
1,27,21,39,F
1,19,21,39,F
1,29,21,39,F
1,20,21,39,F
1,30,21,39,F
1,28,26,12,F
1,29,26,12,F
1,21,26,12,F
1,28,37,10,F
1,20,37,10,F
1,19,37,10,F
1,31,37,10,F
1,28,46,27,F
1,29,46,27,F
1,30,46,27,F
1,31,46,27,F
1,27,49,10,F
1,28,49,10,F
1,31,49,10,F
1,21,50,23,F
1,19,58,22,F
1,30,58,22,F
1,21,58,22,F
1,28,61,45,F
1,31,61,45,F
1,20,61,11,F
1,30,61,11,F
1,31,61,11,F
1,30,79,12,F
1,19,79,22,F
1,31,79,22,F
1,7,13,19,M
1,7,17,8,M
1,7,24,5,M
1,7,47,18,M
1,7,59,12,M
1,7,74,26,M
1,7,76,25,M
1,8,2,15,M
1,8,9,38,M
1,8,13,38,M
1,8,40,2,M
1,8,54,38,M
1,9,6,8,M
1,9,7,23,M
1,9,7,27,M
1,9,9,27,M
1,9,14,23,M
1,9,16,23,M
1,9,16,27,M
1,9,18,29,M
1,9,21,23,M
1,9,41,27,M
1,9,41,23,M
1,9,42,24,M
1,9,60,23,M
1,10,20,28,M
1,10,61,28,M
1,11,46,27,M
1,11,49,10,M
1,11,57,43,M
1,11,63,43,M
1,11,67,39,M
1,11,70,43,M
1,12,2,18,M
1,12,25,17,M
1,12,25,15,M
1,12,25,1,M
1,12,29,18,M
1,13,7,1,M
1,13,8,2,M
1,13,12,17,M
1,13,13,38,M
1,13,14,38,M
1,13,16,16,M
1,13,17,1,M
1,13,17,15,M
1,13,38,2,M
1,13,40,2,M
1,13,42,2,M
1,13,53,37,M
1,13,54,38,M
1,13,82,38,M
1,13,82,15,M
1,14,9,27,M
1,15,12,27,M
1,15,14,31,M
1,15,37,10,M
1,16,63,43,M
1,17,31,25,M
1,17,40,40,M
1,17,48,6,M
1,18,19,13,M
1,23,9,27,F
1,25,20,28,F
1,26,22,28,F
1,23,35,28,F
1,24,35,28,F
1,23,40,28,F
1,23,52,28,F
1,32,7,1,F
1,40,7,1,F
1,44,7,1,F
1,40,8,2,F
1,40,8,1,F
1,47,9,2,F
1,32,9,2,F
1,48,9,38,F
1,40,12,38,F
1,48,12,38,F
1,45,12,1,F
1,40,13,38,F
1,48,13,38,F
1,40,14,3,F
1,48,14,3,F
1,45,14,1,F
1,40,14,2,F
1,44,14,2,F
1,45,17,1,F
1,45,25,17,F
1,44,25,17,F
1,44,25,15,F
1,45,25,15,F
1,44,25,1,F
1,45,25,1,F
1,47,30,1,F
1,47,30,2,F
1,32,32,1,F
1,32,33,1,F
1,32,38,2,F
1,47,38,2,F
1,45,38,2,F
1,40,40,2,F
1,47,40,2,F
1,48,40,2,F
1,45,40,2,F
1,44,40,2,F
1,45,43,2,F
1,47,43,2,F
1,48,43,2,F
1,40,81,38,F
